participant,session,task,raw,referenced,ref,filtered_downsampled,highpass_freq,lowpass_freq,phase,resample_rate,ref_filt_ds,rereferenced,ref_filt_ds_reref,interpolated,ref_filt_ds_reref_interp,bad_channels_marked,bad_channels,annotated,annotation_labels,annotation_onsets,annotation_durations,ica,n_components,ica_method,random_state,bad_indices_marked,bad_indices,ref_filt_ds_reref_interp_ica,preprocessed,clean,notes,bads_marked
P02,post-training,ro1,data/EEG-recordings/raw/p02/post-training/P02_post_ro1.vhdr,FALSE,data/EEG-recordings/ref/p02/post-training/P02_post_ro1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/post-training/P02_post_ro1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/post-training/P02_post_ro1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/post-training/P02_post_ro1_ref_filt-ds_reref_interp.fif.gz,TRUE,P2,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,22.53664490861619 76.5384497389034 99.55385770234987 146.61146540469974 186.2852578328982 191.6415861618799 253.25680156657964 303.71062989556134,1.428789164490862 2.6814262402088787 2.1007767624020914 10.147555483028725 2.0355352480417537 1.4353133159269191 6.113129895561343 11.389370104438683,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 11 13 23 24 34 35,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_ro1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_ro1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: Mostly fine, some minor noise segments. QUESTIONABLE ICA INDICES: 20, 27, 28.",NA
P02,post-training,ro2,data/EEG-recordings/raw/p02/post-training/P02_post_ro2.vhdr,FALSE,data/EEG-recordings/ref/p02/post-training/P02_post_ro2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/post-training/P02_post_ro2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/post-training/P02_post_ro2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/post-training/P02_post_ro2_ref_filt-ds_reref_interp.fif.gz,TRUE,T7,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_END,7.6267330287206265 184.80302545691907 302.68925261096604,1.1808714099216724 3.222930809399486 7.910747389033986,TRUE,0.995,picard,666,TRUE,0 1 6 7 9 11 13 15 16 30 34 35,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_ro2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/post-training/P02_post_ro2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: A couple tiny noisy segments, mostly good. QUESTIONABLE ICA INDICES: 30, 34, 35.",NA
P02,pre-training,rc1,data/EEG-recordings/raw/p02/pre-training/P02_pre_rc1.vhdr,FALSE,data/EEG-recordings/ref/p02/pre-training/P02_pre_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/pre-training/P02_pre_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/pre-training/P02_pre_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/pre-training/P02_pre_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,TP10,TRUE,BAD_SEGMENT BAD_END,215.4945855091384 305.97462140992167,0.8350913838119993 6.325378590078344,TRUE,0.995,picard,666,TRUE,0 1 2 3 6 9 16 24 36 42,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: One noisy channel, otherwise quite clean. QUESTIONABLE ICA INDICES: 11, 32.",NA
P02,pre-training,rc2,data/EEG-recordings/raw/p02/pre-training/P02_pre_rc2.vhdr,FALSE,data/EEG-recordings/ref/p02/pre-training/P02_pre_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/pre-training/P02_pre_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/pre-training/P02_pre_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/pre-training/P02_pre_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,TP10,TRUE,BAD_END,305.88109007832895,6.46890992167107,TRUE,0.995,picard,666,TRUE,1 5 6 10 16 34 35 42 43,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_rc2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: TP10 even noisier here, otherwise quite clean. QUESTIONABLE ICA INDICES: 0, 4, 10, 22, .",NA
P02,pre-training,ro1,data/EEG-recordings/raw/p02/pre-training/P02_pre_ro1.vhdr,FALSE,data/EEG-recordings/ref/p02/pre-training/P02_pre_ro1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/pre-training/P02_pre_ro1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/pre-training/P02_pre_ro1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/pre-training/P02_pre_ro1_ref_filt-ds_reref_interp.fif.gz,TRUE,TP10,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,58.62742819843342 94.64519582245431 130.76207571801564 186.663658616188 207.17906657963448 233.98625652741515 256.58939295039164 274.8409203655352 306.4507734986945,2.975013054830285 1.7223759791122717 6.16532310704963 7.6618537859007745 2.7336194516971375 3.0598270234987126 0.7568015665796679 1.0569125326370568 6.14922650130552,TRUE,0.995,picard,666,TRUE,1 2 3 4 5 6 7 8 11 12 13 14 15,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_ro1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_ro1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: TP10 still noisy. Really big slow waves start around 200s, and some noise. QUESTIONABLE ICA INDICES: 0, 9, 10. ICA added noise to a few channels, didn't do a great job capturing the slow waves either.",NA
P02,pre-training,ro2,data/EEG-recordings/raw/p02/pre-training/P02_pre_ro2.vhdr,FALSE,data/EEG-recordings/ref/p02/pre-training/P02_pre_ro2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p02/pre-training/P02_pre_ro2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p02/pre-training/P02_pre_ro2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p02/pre-training/P02_pre_ro2_ref_filt-ds_reref_interp.fif.gz,TRUE,TP10,TRUE,BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_SEGMENT BAD_END,10.716406657963446 47.505274151436026 96.31662859007832 104.40380221932115 159.26027088772847 308.9364751958224,2.40088772845953 3.4708485639686657 2.59008812010444 1.2069680156657938 2.224735639686685 3.663524804177598,TRUE,0.995,picard,666,TRUE,0 1 2 3 4 7 10 12 13 16 21 22 31 33 34 36 37 38 40 41,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_ro2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p02/pre-training/P02_pre_ro2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: TP10 still bad. More noisy segments than other recordings for this participant. QUESTIONABLE ICA INDICES: 6, 10, 12, 21, 22, 24.",NA
P03,follow-up,rc1,data/EEG-recordings/raw/p03/follow-up/P03_fu_rc1.vhdr,FALSE,data/EEG-recordings/ref/p03/follow-up/P03_fu_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/follow-up/P03_fu_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/follow-up/P03_fu_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/follow-up/P03_fu_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT,213.34036553524805,1.4287891644908655,TRUE,0.995,picard,666,TRUE,31 37 43,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: NA. QUESTIONABLE ICA INDICES: 4, 10, 13. There are some small slow waves in a handful of indices as well but keeping them was fine.",NA
P03,follow-up,rc2,data/EEG-recordings/raw/p03/follow-up/P03_fu_rc2.vhdr,FALSE,data/EEG-recordings/ref/p03/follow-up/P03_fu_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/follow-up/P03_fu_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/follow-up/P03_fu_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/follow-up/P03_fu_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,NA,NA,NA,TRUE,0.995,picard,666,TRUE,5 37 40 48,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_rc2_ref_filt-ds_reref_interp_ica.fif.gz,BADS: NA. QUESTIONABLE ICA INDICES: 18.,NA
P03,follow-up,ro1,data/EEG-recordings/raw/p03/follow-up/P03_fu_ro1.vhdr,FALSE,data/EEG-recordings/ref/p03/follow-up/P03_fu_ro1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/follow-up/P03_fu_ro1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/follow-up/P03_fu_ro1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/follow-up/P03_fu_ro1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT,123.89491840731068,0.9720985639686717,TRUE,0.995,picard,666,TRUE,0 25 39 25 34 39 42 50,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_ro1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_ro1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: One tiny noisy segment. QUESTIONABLE ICA INDICES: 26, 27, 34, 50.",NA
P03,follow-up,ro2,data/EEG-recordings/raw/p03/follow-up/P03_fu_ro2.vhdr,FALSE,data/EEG-recordings/ref/p03/follow-up/P03_fu_ro2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/follow-up/P03_fu_ro2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/follow-up/P03_fu_ro2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/follow-up/P03_fu_ro2_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT,216.25791122715407,1.2591612271540384,TRUE,0.995,picard,666,TRUE,0 1 14 15 35 48,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_ro2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/follow-up/P03_fu_ro2_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: NA. QUESTIONABLE ICA INDICES: 5, 10, 13.",NA
P03,post-training,rc1,data/EEG-recordings/raw/p03/post-training/P03_post_rc1.vhdr,FALSE,data/EEG-recordings/ref/p03/post-training/P03_post_rc1_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/post-training/P03_post_rc1_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/post-training/P03_post_rc1_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/post-training/P03_post_rc1_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_END,111.77331919060052 307.40227154046994,1.246112924281988 2.074680156657962,TRUE,0.995,picard,666,TRUE,0 1 2 15 26 30 37 42 46,data/ref_filt-ds_reref_interp_ica/p03/post-training/P03_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/post-training/P03_post_rc1_ref_filt-ds_reref_interp_ica.fif.gz,"BADS: One tiny noisy segment, otherwise fine. QUESTIONABLE ICA INDICES: Some small slow artifacts in most indices but not too bad.",NA
P03,post-training,rc2,data/EEG-recordings/raw/p03/post-training/P03_post_rc2.vhdr,FALSE,data/EEG-recordings/ref/p03/post-training/P03_post_rc2_ref.fif.gz,TRUE,0.1,50,zero-double,200,data/EEG-recordings/ref_filt-ds/p03/post-training/P03_post_rc2_ref_filt-ds.fif.gz,TRUE,data/ref_filt-ds_reref/p03/post-training/P03_post_rc2_ref_filt-ds_reref.fif.gz,TRUE,data/ref_filt-ds_reref_interp/p03/post-training/P03_post_rc2_ref_filt-ds_reref_interp.fif.gz,TRUE,NA,TRUE,BAD_SEGMENT BAD_END,280.5272062663185 307.7559366840731,2.322597911227149 3.9440633159268828,TRUE,0.995,picard,666,TRUE,0 1 5 10 28 30 39 42 45 46,data/ref_filt-ds_reref_interp_ica/p03/post-training/P03_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,FALSE,data/ref_filt-ds_reref_interp_ica/p03/post-training/P03_post_rc2_ref_filt-ds_reref_interp_ica.fif.gz,BADS: One minor noisy segment. QUESTIONABLE ICA INDICES: Small slow artifacts in a few indices that were left in.,NA
